filename-1,filename-2,similarity,title-1,year-1,month-1,day-1,title-2,year-2,month-2,day-2
2023-11-29_2032.txt,2023-12-04_1939.txt,0.383737012,"Israel-Hamas war: List of key events, day 54",2023,11,29,"Israel-Hamas war: List of key events, day 59",2023,12,4
2023-11-29_2032.txt,2023-12-03_1954.txt,0.383737012,"Israel-Hamas war: List of key events, day 54",2023,11,29,"Israel-Hamas war: List of key events, day 58",2023,12,3
2023-10-21_2952.txt,2023-12-06_1903.txt,0.443979194,"Russia-Ukraine war: List of key events, day 605",2023,10,21,"Israel-Hamas war: List of key events, day 61",2023,12,6
2023-10-12_3205.txt,2023-12-06_1903.txt,0.447611589,"Israel-Hamas war: List of key events, day 6",2023,10,12,"Israel-Hamas war: List of key events, day 61",2023,12,6
2023-10-21_2952.txt,2023-12-05_1926.txt,0.442435478,"Russia-Ukraine war: List of key events, day 605",2023,10,21,"Israel-Hamas war: List of key events, day 60",2023,12,5
2023-10-12_3205.txt,2023-12-05_1926.txt,0.446055243,"Israel-Hamas war: List of key events, day 6",2023,10,12,"Israel-Hamas war: List of key events, day 60",2023,12,5
2023-10-21_2952.txt,2023-12-08_1870.txt,0.440730227,"Russia-Ukraine war: List of key events, day 605",2023,10,21,"Israel-Hamas war: List of key events, day 63",2023,12,8
2023-10-12_3205.txt,2023-12-08_1870.txt,0.44433604,"Israel-Hamas war: List of key events, day 6",2023,10,12,"Israel-Hamas war: List of key events, day 63",2023,12,8
2023-10-21_2952.txt,2023-12-09_1850.txt,0.439806185,"Russia-Ukraine war: List of key events, day 605",2023,10,21,"Israel-Hamas war: List of key events, day 64",2023,12,9
2023-10-12_3205.txt,2023-12-09_1850.txt,0.443404438,"Israel-Hamas war: List of key events, day 6",2023,10,12,"Israel-Hamas war: List of key events, day 64",2023,12,9
2023-10-21_2952.txt,2023-12-07_1887.txt,0.439806185,"Russia-Ukraine war: List of key events, day 605",2023,10,21,"Israel-Hamas war: List of key events, day 62",2023,12,7
2023-10-12_3205.txt,2023-12-07_1887.txt,0.443404438,"Israel-Hamas war: List of key events, day 6",2023,10,12,"Israel-Hamas war: List of key events, day 62",2023,12,7
2023-11-29_2032.txt,2023-12-19_1690.txt,0.301978662,"Israel-Hamas war: List of key events, day 54",2023,11,29,"Israel-Hamas war: List of key events, day 74",2023,12,19
2023-12-29_1566.txt,2023-12-30_1559.txt,0.388574295,"Israel-Hamas war: List of key events, day 84",2023,12,29,"Israel-Hamas war: List of key events, day 85",2023,12,30
2023-10-21_2952.txt,2023-12-13_1786.txt,0.439916832,"Russia-Ukraine war: List of key events, day 605",2023,10,21,"Israel-Hamas war: List of key events, day 68",2023,12,13
2023-10-12_3205.txt,2023-12-13_1786.txt,0.443515991,"Israel-Hamas war: List of key events, day 6",2023,10,12,"Israel-Hamas war: List of key events, day 68",2023,12,13
2023-10-21_2952.txt,2023-12-20_1679.txt,0.437528324,"Russia-Ukraine war: List of key events, day 605",2023,10,21,"Israel-Hamas war: List of key events, day 75",2023,12,20
